size,year,num,three_atmp,three_made,perc_made,mean_atmp
"7'0"" and above",2001,39,466,161,0.34549356223175964,11.948717948717949
"6'0"" and under",2001,27,3246,1158,0.3567467652495379,120.22222222222223
"6'4"" to 6'6""",2001,95,10771,3826,0.35521307213814873,113.37894736842105
"6'1"" to 6'3""",2001,64,7516,2693,0.3583022884513039,117.4375
"6'7"" to 6'9""",2001,136,8373,2918,0.3485011345993073,61.56617647058823
"6'10"" to 6'11""",2001,80,2225,768,0.3451685393258427,27.8125
"7'0"" and above",2002,41,515,197,0.3825242718446602,12.560975609756097
"6'0"" and under",2002,23,2926,1025,0.3503075871496924,127.21739130434783
"6'4"" to 6'6""",2002,91,12124,4353,0.3590399208182118,133.23076923076923
"6'1"" to 6'3""",2002,67,7743,2687,0.3470231176546558,115.56716417910448
"6'7"" to 6'9""",2002,129,8919,3190,0.3576634151810741,69.13953488372093
"6'10"" to 6'11""",2002,89,2847,950,0.3336845802599227,31.98876404494382
"7'0"" and above",2003,39,668,217,0.3248502994011976,17.128205128205128
"6'0"" and under",2003,18,2068,703,0.33994197292069633,114.88888888888889
"6'4"" to 6'6""",2003,87,10674,3800,0.3560052463931047,122.6896551724138
"6'1"" to 6'3""",2003,58,8266,2908,0.3518025647229615,142.51724137931035
"6'7"" to 6'9""",2003,137,10419,3608,0.3462904309434687,76.05109489051095
"6'10"" to 6'11""",2003,89,2817,964,0.3422080227192048,31.651685393258425
"7'0"" and above",2004,39,368,116,0.31521739130434784,9.435897435897436
"6'0"" and under",2004,21,2235,739,0.33064876957494405,106.42857142857143
"6'4"" to 6'6""",2004,82,11501,4064,0.35336057734110077,140.2560975609756
"6'1"" to 6'3""",2004,62,8261,2826,0.3420893354315458,133.24193548387098
"6'7"" to 6'9""",2004,149,10486,3692,0.35208849895098226,70.3758389261745
"6'10"" to 6'11""",2004,89,2641,884,0.3347216963271488,29.674157303370787
"7'0"" and above",2005,45,310,104,0.33548387096774196,6.888888888888889
"6'0"" and under",2005,22,2943,988,0.3357118586476385,133.77272727272728
"6'4"" to 6'6""",2005,93,11653,4136,0.35493006092851626,125.3010752688172
"6'1"" to 6'3""",2005,65,9292,3329,0.3582651743435213,142.95384615384614
"6'7"" to 6'9""",2005,146,11726,4240,0.3615896298823128,80.31506849315069
"6'10"" to 6'11""",2005,93,2824,980,0.34702549575070823,30.365591397849464
"7'0"" and above",2006,43,430,151,0.3511627906976744,10
"6'0"" and under",2006,21,2190,767,0.3502283105022831,104.28571428571429
"6'4"" to 6'6""",2006,91,11177,3931,0.35170439294980765,122.82417582417582
"6'1"" to 6'3""",2006,72,10380,3872,0.37302504816955684,144.16666666666666
"6'7"" to 6'9""",2006,146,11746,4168,0.3548442022816278,80.45205479452055
"6'10"" to 6'11""",2006,85,3390,1197,0.3530973451327434,39.88235294117647
"7'0"" and above",2007,37,664,225,0.338855421686747,17.945945945945947
"6'0"" and under",2007,23,2330,792,0.33991416309012873,101.30434782608695
"6'4"" to 6'6""",2007,88,11130,4003,0.3596585804132974,126.47727272727273
"6'1"" to 6'3""",2007,72,11999,4296,0.35802983581965164,166.65277777777777
"6'7"" to 6'9""",2007,152,13127,4772,0.36352555801020797,86.36184210526316
"6'10"" to 6'11""",2007,87,2585,884,0.34197292069632496,29.71264367816092
"7'0"" and above",2008,41,783,244,0.3116219667943806,19.097560975609756
"6'0"" and under",2008,21,2032,688,0.33858267716535434,96.76190476190476
"6'4"" to 6'6""",2008,89,12597,4614,0.3662776851631341,141.53932584269663
"6'1"" to 6'3""",2008,71,11413,4181,0.36633663366336633,160.74647887323943
"6'7"" to 6'9""",2008,147,15158,5521,0.3642301095131284,103.1156462585034
"6'10"" to 6'11""",2008,82,2703,930,0.34406215316315203,32.96341463414634
"7'0"" and above",2009,47,944,340,0.3601694915254237,20.085106382978722
"6'0"" and under",2009,17,2135,765,0.3583138173302108,125.58823529411765
"6'4"" to 6'6""",2009,86,12205,4499,0.3686194182712003,141.91860465116278
"6'1"" to 6'3""",2009,69,11304,4131,0.36544585987261147,163.82608695652175
"6'7"" to 6'9""",2009,147,14545,5323,0.36596768649020284,98.94557823129252
"6'10"" to 6'11""",2009,79,3456,1296,0.375,43.74683544303797
"7'0"" and above",2010,44,713,243,0.34081346423562414,16.204545454545453
"6'0"" and under",2010,19,2421,886,0.3659644774886411,127.42105263157895
"6'4"" to 6'6""",2010,80,12039,4301,0.35725558601212726,150.4875
"6'1"" to 6'3""",2010,77,11660,4139,0.35497427101200685,151.42857142857142
"6'7"" to 6'9""",2010,140,13287,4677,0.3519981937231881,94.90714285714286
"6'10"" to 6'11""",2010,83,4583,1600,0.3491162993672267,55.21686746987952
"7'0"" and above",2011,44,668,222,0.3323353293413174,15.181818181818182
"6'0"" and under",2011,20,2674,932,0.34854151084517576,133.7
"6'4"" to 6'6""",2011,86,12255,4393,0.3584659322725418,142.5
"6'1"" to 6'3""",2011,68,10922,3924,0.3592748580845999,160.61764705882354
"6'7"" to 6'9""",2011,148,14286,5102,0.35713285734285316,96.52702702702703
"6'10"" to 6'11""",2011,86,3508,1313,0.3742873432155074,40.7906976744186
"7'0"" and above",2012,40,569,171,0.30052724077328646,17.67348484848485
"6'0"" and under",2012,21,2292,820,0.35776614310645727,135.6017316017316
"6'4"" to 6'6""",2012,90,9819,3454,0.3517669823810979,135.54848484848483
"6'1"" to 6'3""",2012,78,9294,3232,0.3477512373574349,148.03962703962705
"6'7"" to 6'9""",2012,151,10922,3785,0.34654825123603733,89.86594421031508
"6'10"" to 6'11""",2012,98,3499,1231,0.35181480422977995,44.35961657390229
"7'0"" and above",2013,37,935,301,0.32192513368983955,25.27027027027027
"6'0"" and under",2013,18,3121,1122,0.3595001602050625,173.38888888888889
"6'4"" to 6'6""",2013,90,13751,4874,0.35444694931277726,152.7888888888889
"6'1"" to 6'3""",2013,78,12637,4575,0.3620321278784522,162.01282051282053
"6'7"" to 6'9""",2013,151,15068,5497,0.3648128484204938,99.78807947019868
"6'10"" to 6'11""",2013,94,3537,1228,0.34718688153802657,37.62765957446808
"7'0"" and above",2014,42,1386,468,0.33766233766233766,33
"6'0"" and under",2014,20,3887,1400,0.36017494211474144,194.35
"6'4"" to 6'6""",2014,91,13322,4736,0.35550217685032276,146.3956043956044
"6'1"" to 6'3""",2014,77,11437,4163,0.36399405438489113,148.53246753246754
"6'7"" to 6'9""",2014,159,19149,6955,0.36320434487440595,120.43396226415095
"6'10"" to 6'11""",2014,92,3792,1332,0.3512658227848101,41.21739130434783
"7'0"" and above",2015,43,1257,437,0.34765314240254575,29.232558139534884
"6'0"" and under",2015,22,3666,1279,0.34888161483906166,166.63636363636363
"6'4"" to 6'6""",2015,100,14239,4895,0.34377414144251706,142.39
"6'1"" to 6'3""",2015,74,12460,4356,0.34959871589085073,168.3783783783784
"6'7"" to 6'9""",2015,161,18451,6583,0.3567828301989052,114.6024844720497
"6'10"" to 6'11""",2015,92,5064,1750,0.34557661927330174,55.04347826086956
"7'0"" and above",2016,42,1775,610,0.3436619718309859,42.26190476190476
"6'0"" and under",2016,17,3558,1301,0.365654862282181,209.2941176470588
"6'4"" to 6'6""",2016,102,15583,5353,0.3435153693127126,152.77450980392157
"6'1"" to 6'3""",2016,74,13553,4944,0.36479008337637425,183.14864864864865
"6'7"" to 6'9""",2016,151,19797,7043,0.35576097388493205,131.10596026490066
"6'10"" to 6'11""",2016,90,4976,1702,0.3420418006430868,55.28888888888889
"7'0"" and above",2017,45,3026,1058,0.34963648380700596,67.24444444444444
"6'0"" and under",2017,19,3314,1230,0.3711526855763428,174.42105263157896
"6'4"" to 6'6""",2017,116,20013,7115,0.35551891270674063,172.52586206896552
"6'1"" to 6'3""",2017,70,12875,4749,0.3688543689320388,183.92857142857142
"6'7"" to 6'9""",2017,150,20099,7114,0.35394795760983133,133.99333333333334
"6'10"" to 6'11""",2017,86,7095,2482,0.34982381959126146,82.5
"7'0"" and above",2018,45,3996,1436,0.35935935935935936,88.8
"6'0"" and under",2018,20,3933,1469,0.3735062293414696,196.65
"6'4"" to 6'6""",2018,145,23255,8405,0.3614276499677489,160.3793103448276
"6'1"" to 6'3""",2018,74,12098,4329,0.35782774012233426,163.48648648648648
"6'7"" to 6'9""",2018,162,21215,7721,0.3639406080603347,130.95679012345678
"6'10"" to 6'11""",2018,93,6841,2446,0.35755006577985676,73.55913978494624