FG,Dist,portion_from_2,portion_from_0_to_3,portion_from_3_to_10,portion_from_10_to_16,portion_from_over_16,portion_from_3,portion_from_3_corner,portion_from_3_top,percentage_from_2,percentage_from_0_to_3,percentage_from_3_to_10,percentage_from_10_to_16,percentage_from_over_16,percentage_from_3,percentage_from_3_corner,percentage_from_3_top,portion_assisted_2,portion_assisted_3,heaves_attempted,heaves_made,year,Team
0.422,11.1,0.867,0.303,0.159,0.188,0.216,0.133,0.044555,0.088445,0.437,0.596,0.331,0.361,0.359,0.327,0.373,0.303827068,0.572,0.853,21,0,2003,Cleveland Cavaliers
0.468,13.7,0.741,0.278,0.101,0.101,0.262,0.259,0.090909,0.168091,0.495,0.644,0.385,0.391,0.418,0.393,0.412,0.382724191,0.484,0.79,10,0,2009,Cleveland Cavaliers
0.454,11.9,0.772,0.351,0.121,0.103,0.198,0.228,0.08322,0.14478,0.487,0.616,0.375,0.348,0.399,0.339,0.36,0.326929134,0.482,0.803,15,0,2006,Cleveland Cavaliers
0.462,13,0.764,0.242,0.179,0.16,0.182,0.236,0.054752,0.181248,0.489,0.627,0.432,0.412,0.431,0.372,0.363,0.37471875,0.538,0.86,18,0,2013,Dallas Mavericks
0.467,13,0.782,0.269,0.104,0.163,0.246,0.218,0.071504,0.146496,0.491,0.606,0.401,0.452,0.43,0.381,0.377,0.382952381,0.469,0.88,14,0,2007,Dallas Mavericks
0.464,13,0.785,0.264,0.108,0.17,0.243,0.215,0.059985,0.155015,0.495,0.611,0.398,0.438,0.453,0.352,0.371,0.344647712,0.503,0.903,19,0,2008,Dallas Mavericks
0.44,15.4,0.634,0.201,0.127,0.116,0.189,0.366,0.071736,0.294264,0.489,0.637,0.444,0.441,0.391,0.355,0.371,0.351099502,0.474,0.813,17,0,2017,Dallas Mavericks
0.459,12.3,0.798,0.257,0.165,0.166,0.21,0.202,0.047268,0.154732,0.479,0.656,0.347,0.413,0.419,0.381,0.355,0.388942559,0.513,0.816,14,0,2001,Dallas Mavericks
0.443,13.4,0.729,0.24,0.167,0.148,0.175,0.271,0.061788,0.209212,0.482,0.658,0.355,0.409,0.422,0.339,0.35,0.335751295,0.509,0.829,10,0,2012,Dallas Mavericks
0.474,13.2,0.726,0.262,0.156,0.135,0.173,0.274,0.054526,0.219474,0.508,0.655,0.418,0.426,0.428,0.384,0.412,0.377043695,0.52,0.861,15,0,2014,Dallas Mavericks
0.462,13.4,0.759,0.266,0.089,0.162,0.242,0.241,0.067962,0.173038,0.498,0.601,0.402,0.443,0.456,0.35,0.335,0.355891365,0.506,0.851,17,1,2009,Dallas Mavericks
0.464,12.7,0.778,0.282,0.127,0.142,0.229,0.222,0.049062,0.172938,0.491,0.6,0.422,0.41,0.444,0.372,0.399,0.36434018,0.556,0.864,13,0,2010,Dallas Mavericks
0.457,12.3,0.81,0.287,0.132,0.148,0.243,0.19,0.04598,0.14402,0.479,0.594,0.44,0.399,0.413,0.364,0.37,0.362084433,0.472,0.834,20,0,2005,Dallas Mavericks
0.462,11.8,0.825,0.287,0.143,0.178,0.218,0.175,0.0406,0.1344,0.481,0.571,0.423,0.425,0.447,0.374,0.422,0.3595,0.435,0.894,19,0,2006,Dallas Mavericks
0.459,12.1,0.799,0.29,0.159,0.129,0.219,0.201,0.033768,0.167232,0.488,0.619,0.414,0.428,0.402,0.348,0.373,0.342951923,0.548,0.828,18,0,2004,Dallas Mavericks
0.475,13.6,0.726,0.24,0.162,0.125,0.199,0.274,0.080282,0.193718,0.516,0.684,0.407,0.423,0.461,0.365,0.392,0.353810467,0.565,0.905,18,1,2011,Dallas Mavericks
0.444,13.7,0.661,0.243,0.149,0.111,0.159,0.339,0.072207,0.266793,0.495,0.656,0.369,0.431,0.412,0.344,0.39,0.331550191,0.5,0.847,17,0,2016,Dallas Mavericks
0.453,13.2,0.761,0.253,0.131,0.136,0.241,0.239,0.057838,0.181162,0.475,0.622,0.416,0.408,0.391,0.381,0.372,0.383873351,0.515,0.843,11,0,2003,Dallas Mavericks
0.463,13.3,0.704,0.287,0.142,0.094,0.182,0.296,0.067784,0.228216,0.509,0.661,0.379,0.42,0.417,0.352,0.393,0.339822309,0.482,0.857,10,1,2015,Dallas Mavericks
0.444,14.4,0.618,0.241,0.135,0.105,0.137,0.382,0.064558,0.317442,0.496,0.652,0.4,0.385,0.405,0.36,0.416,0.348611312,0.491,0.824,20,0,2018,Dallas Mavericks
0.462,12.8,0.763,0.281,0.121,0.146,0.214,0.237,0.03792,0.19908,0.488,0.607,0.404,0.411,0.431,0.378,0.436,0.366952381,0.51,0.799,9,0,2002,Dallas Mavericks
0.459,11.1,0.858,0.364,0.102,0.117,0.274,0.142,0.043168,0.098832,0.479,0.627,0.36,0.36,0.377,0.34,0.399,0.314229885,0.617,0.878,23,0,2005,Denver Nuggets
0.461,11.4,0.839,0.367,0.088,0.103,0.28,0.161,0.048783,0.112217,0.487,0.613,0.368,0.377,0.401,0.325,0.319,0.327608321,0.591,0.886,20,1,2006,Denver Nuggets
0.443,11.3,0.854,0.345,0.111,0.127,0.272,0.146,0.028032,0.117968,0.461,0.597,0.365,0.377,0.365,0.336,0.381,0.325306931,0.574,0.801,10,0,2004,Denver Nuggets
0.47,11.8,0.773,0.376,0.1,0.081,0.216,0.227,0.043811,0.183189,0.499,0.616,0.407,0.327,0.401,0.371,0.389,0.366695167,0.555,0.777,18,1,2009,Denver Nuggets
0.465,11.4,0.788,0.37,0.104,0.1,0.214,0.212,0.053212,0.158788,0.5,0.632,0.393,0.392,0.373,0.336,0.318,0.342032043,0.55,0.924,16,0,2007,Denver Nuggets
0.433,12.7,0.716,0.297,0.177,0.09,0.151,0.284,0.067024,0.216976,0.476,0.624,0.349,0.397,0.38,0.325,0.344,0.31913089,0.506,0.839,22,1,2015,Denver Nuggets
0.469,12.8,0.671,0.33,0.156,0.078,0.108,0.329,0.063168,0.265832,0.519,0.627,0.441,0.386,0.397,0.368,0.387,0.363485149,0.526,0.87,19,0,2017,Denver Nuggets
0.468,12,0.773,0.351,0.11,0.094,0.218,0.227,0.048578,0.178422,0.5,0.623,0.388,0.4,0.401,0.359,0.4,0.34783715,0.503,0.772,16,0,2010,Denver Nuggets
0.433,12.3,0.79,0.295,0.137,0.138,0.221,0.21,0.06195,0.14805,0.454,0.615,0.357,0.366,0.354,0.355,0.38,0.344539007,0.62,0.861,5,0,2001,Denver Nuggets
0.442,11.8,0.723,0.342,0.158,0.08,0.142,0.277,0.05817,0.21883,0.482,0.586,0.389,0.373,0.397,0.338,0.34,0.337468354,0.543,0.811,18,2,2016,Denver Nuggets
0.411,11.2,0.874,0.297,0.171,0.135,0.272,0.126,0.030492,0.095508,0.43,0.567,0.341,0.38,0.361,0.278,0.251,0.286620053,0.629,0.825,8,0,2003,Denver Nuggets
0.47,12.8,0.643,0.275,0.204,0.09,0.074,0.357,0.059619,0.297381,0.525,0.664,0.424,0.441,0.391,0.371,0.417,0.361777911,0.526,0.848,26,0,2018,Denver Nuggets
0.476,12.3,0.742,0.349,0.133,0.074,0.186,0.258,0.073788,0.184212,0.506,0.633,0.371,0.378,0.414,0.388,0.4,0.383193277,0.497,0.875,17,1,2011,Denver Nuggets
0.47,11.9,0.772,0.362,0.102,0.1,0.208,0.228,0.054948,0.173052,0.504,0.622,0.4,0.392,0.404,0.355,0.403,0.339758893,0.551,0.907,32,0,2008,Denver Nuggets
0.478,10.4,0.783,0.415,0.172,0.08,0.115,0.217,0.074865,0.142135,0.516,0.655,0.368,0.347,0.352,0.343,0.351,0.33878626,0.551,0.862,21,0,2013,Denver Nuggets
0.476,11,0.757,0.404,0.151,0.077,0.125,0.243,0.076059,0.166941,0.522,0.645,0.372,0.392,0.386,0.332,0.361,0.318787482,0.553,0.92,22,1,2012,Denver Nuggets
0.424,12,0.813,0.3,0.147,0.121,0.245,0.187,0.057222,0.129778,0.446,0.583,0.36,0.397,0.355,0.329,0.344,0.322386167,0.586,0.842,17,0,2002,Denver Nuggets
0.447,12.5,0.722,0.309,0.182,0.08,0.15,0.278,0.06672,0.21128,0.481,0.634,0.373,0.351,0.366,0.358,0.416,0.339684211,0.518,0.813,20,0,2014,Denver Nuggets
0.454,12.7,0.835,0.284,0.091,0.156,0.304,0.165,0.0627,0.1023,0.475,0.587,0.477,0.405,0.406,0.349,0.38,0.33,0.51,0.955,11,0,2009,Detroit Pistons
0.445,11.8,0.82,0.319,0.125,0.145,0.23,0.18,0.05796,0.12204,0.474,0.588,0.395,0.414,0.396,0.314,0.334,0.304501475,0.49,0.89,14,0,2010,Detroit Pistons
0.444,11.5,0.836,0.321,0.117,0.183,0.215,0.164,0.044772,0.119228,0.463,0.576,0.393,0.413,0.377,0.345,0.355,0.341244842,0.592,0.865,8,0,2005,Detroit Pistons
0.438,11.4,0.825,0.329,0.172,0.107,0.216,0.175,0.041825,0.133175,0.457,0.589,0.36,0.375,0.376,0.346,0.356,0.342859396,0.488,0.849,14,0,2012,Detroit Pistons
0.449,13.1,0.737,0.25,0.189,0.141,0.157,0.263,0.053389,0.209611,0.492,0.646,0.384,0.445,0.416,0.33,0.384,0.316245922,0.455,0.845,30,1,2017,Detroit Pistons
0.452,12.7,0.76,0.283,0.124,0.146,0.207,0.24,0.07344,0.16656,0.475,0.613,0.42,0.356,0.404,0.376,0.398,0.366299712,0.555,0.884,6,1,2002,Detroit Pistons
0.449,11.1,0.783,0.37,0.172,0.072,0.169,0.217,0.057939,0.159061,0.474,0.609,0.347,0.34,0.366,0.356,0.356,0.356,0.514,0.926,16,0,2013,Detroit Pistons
0.46,12,0.811,0.307,0.15,0.132,0.222,0.189,0.068985,0.120015,0.479,0.634,0.376,0.376,0.396,0.376,0.397,0.363929134,0.507,0.892,18,1,2011,Detroit Pistons
0.435,10.7,0.847,0.34,0.153,0.175,0.179,0.153,0.039321,0.113679,0.452,0.566,0.356,0.393,0.374,0.344,0.394,0.326705249,0.592,0.817,7,0,2004,Detroit Pistons
0.454,12.4,0.799,0.291,0.11,0.182,0.216,0.201,0.063918,0.137082,0.481,0.602,0.408,0.404,0.421,0.344,0.352,0.340269795,0.561,0.822,13,1,2007,Detroit Pistons
0.424,12.2,0.838,0.295,0.109,0.15,0.284,0.162,0.044874,0.117126,0.439,0.571,0.319,0.35,0.394,0.35,0.377,0.339655602,0.513,0.848,5,0,2001,Detroit Pistons
0.455,13.2,0.779,0.269,0.086,0.174,0.249,0.221,0.064753,0.156247,0.475,0.608,0.405,0.415,0.398,0.384,0.4,0.377369165,0.629,0.797,4,0,2006,Detroit Pistons
0.447,11.1,0.778,0.356,0.197,0.068,0.157,0.222,0.055722,0.166278,0.483,0.64,0.344,0.369,0.348,0.321,0.396,0.295866489,0.493,0.779,24,0,2014,Detroit Pistons
0.458,13.5,0.797,0.265,0.085,0.153,0.295,0.203,0.052577,0.150423,0.481,0.613,0.392,0.405,0.428,0.366,0.366,0.366,0.566,0.842,14,0,2008,Detroit Pistons
0.45,13.1,0.667,0.26,0.185,0.107,0.116,0.333,0.075591,0.257409,0.488,0.657,0.346,0.433,0.388,0.373,0.392,0.36742044,0.465,0.889,19,1,2018,Detroit Pistons
0.43,13.1,0.763,0.264,0.135,0.145,0.219,0.237,0.057117,0.179883,0.452,0.568,0.42,0.364,0.393,0.358,0.362,0.356729908,0.553,0.792,10,1,2003,Detroit Pistons
0.432,12.2,0.71,0.323,0.192,0.065,0.128,0.29,0.0696,0.2204,0.468,0.601,0.329,0.381,0.386,0.344,0.396,0.327578947,0.512,0.815,20,0,2015,Detroit Pistons
0.439,12.3,0.697,0.294,0.184,0.104,0.116,0.303,0.076962,0.226038,0.48,0.61,0.369,0.41,0.388,0.345,0.374,0.335126005,0.422,0.803,30,1,2016,Detroit Pistons
0.458,12.6,0.791,0.308,0.138,0.092,0.252,0.209,0.046816,0.162184,0.48,0.632,0.362,0.366,0.402,0.373,0.461,0.347597938,0.468,0.827,18,1,2009,Golden State Warriors
0.442,11.9,0.803,0.272,0.196,0.117,0.218,0.197,0.050038,0.146962,0.468,0.654,0.358,0.346,0.399,0.334,0.356,0.326509383,0.526,0.918,17,1,2004,Golden State Warriors
0.457,13.4,0.752,0.259,0.166,0.091,0.236,0.248,0.067952,0.180048,0.48,0.647,0.343,0.428,0.413,0.388,0.457,0.361958678,0.516,0.87,13,1,2012,Golden State Warriors
0.433,13.1,0.73,0.283,0.152,0.083,0.211,0.27,0.07209,0.19791,0.467,0.633,0.348,0.357,0.374,0.341,0.38,0.326793997,0.519,0.789,13,0,2006,Golden State Warriors
0.462,13.4,0.709,0.264,0.176,0.1,0.169,0.291,0.06984,0.22116,0.496,0.654,0.394,0.396,0.412,0.38,0.413,0.369578947,0.54,0.753,21,0,2014,Golden State Warriors
0.495,14.1,0.641,0.303,0.102,0.107,0.129,0.359,0.074672,0.284328,0.557,0.69,0.408,0.43,0.469,0.383,0.409,0.376171717,0.656,0.832,30,1,2017,Golden State Warriors
0.469,13.3,0.762,0.298,0.113,0.095,0.256,0.238,0.060214,0.177786,0.499,0.651,0.367,0.393,0.419,0.375,0.433,0.355356091,0.481,0.858,20,0,2010,Golden State Warriors
0.461,13,0.752,0.276,0.169,0.093,0.214,0.248,0.07316,0.17484,0.484,0.656,0.37,0.349,0.412,0.392,0.432,0.375262411,0.489,0.866,19,1,2011,Golden State Warriors
0.503,14,0.661,0.267,0.111,0.139,0.144,0.339,0.053562,0.285438,0.56,0.708,0.424,0.485,0.463,0.391,0.405,0.388372922,0.643,0.801,26,0,2018,Golden State Warriors
0.459,12.7,0.705,0.345,0.121,0.068,0.171,0.295,0.072275,0.222725,0.506,0.634,0.378,0.378,0.39,0.348,0.39,0.334370861,0.459,0.815,21,0,2008,Golden State Warriors
0.409,11.5,0.866,0.24,0.226,0.159,0.241,0.134,0.026398,0.107602,0.427,0.653,0.313,0.336,0.371,0.293,0.337,0.282205479,0.588,0.809,8,1,2001,Golden State Warriors
0.478,13.5,0.689,0.286,0.145,0.104,0.154,0.311,0.068731,0.242269,0.514,0.675,0.371,0.443,0.397,0.398,0.46,0.380410783,0.602,0.821,24,0,2015,Golden State Warriors
0.458,13.5,0.761,0.242,0.173,0.118,0.229,0.239,0.054014,0.184986,0.475,0.65,0.361,0.391,0.418,0.403,0.461,0.386064599,0.542,0.769,21,1,2013,Golden State Warriors
0.487,13.5,0.638,0.301,0.125,0.093,0.119,0.362,0.082898,0.279102,0.528,0.66,0.362,0.422,0.452,0.416,0.413,0.416891051,0.626,0.792,22,2,2016,Golden State Warriors
0.463,12.3,0.721,0.338,0.135,0.077,0.172,0.279,0.094581,0.184419,0.504,0.654,0.362,0.359,0.386,0.356,0.386,0.340614221,0.525,0.866,15,0,2007,Golden State Warriors
0.441,11.6,0.822,0.271,0.207,0.123,0.222,0.178,0.038626,0.139374,0.462,0.638,0.361,0.405,0.373,0.344,0.336,0.346217114,0.517,0.819,11,0,2003,Golden State Warriors
0.43,13.3,0.748,0.254,0.155,0.092,0.248,0.252,0.061992,0.190008,0.457,0.642,0.328,0.364,0.382,0.352,0.358,0.35004244,0.542,0.814,10,0,2005,Golden State Warriors
0.429,10.6,0.858,0.297,0.235,0.111,0.215,0.142,0.027406,0.114594,0.447,0.64,0.326,0.372,0.351,0.322,0.359,0.313151177,0.532,0.881,15,1,2002,Golden State Warriors
0.453,12.2,0.783,0.306,0.141,0.133,0.204,0.217,0.055118,0.161882,0.48,0.636,0.356,0.398,0.385,0.357,0.391,0.345423592,0.498,0.792,15,2,2001,Houston Rockets
0.449,12.7,0.76,0.25,0.202,0.12,0.189,0.24,0.06888,0.17112,0.477,0.655,0.374,0.398,0.403,0.359,0.435,0.328408135,0.504,0.816,9,0,2012,Houston Rockets
0.461,12.8,0.651,0.341,0.156,0.048,0.106,0.349,0.10121,0.24779,0.511,0.653,0.35,0.338,0.372,0.366,0.392,0.355380282,0.52,0.841,11,2,2013,Houston Rockets
0.433,12.6,0.774,0.281,0.151,0.118,0.225,0.226,0.05876,0.16724,0.463,0.577,0.426,0.367,0.395,0.332,0.391,0.31127027,0.531,0.832,9,0,2006,Houston Rockets
0.448,12.7,0.745,0.315,0.127,0.096,0.206,0.255,0.05202,0.20298,0.485,0.593,0.41,0.404,0.403,0.342,0.375,0.333542714,0.522,0.846,12,0,2008,Houston Rockets
0.445,13.2,0.71,0.276,0.145,0.104,0.185,0.29,0.07801,0.21199,0.475,0.578,0.431,0.385,0.406,0.372,0.399,0.362064295,0.518,0.8,7,1,2007,Houston Rockets
0.454,12.9,0.736,0.263,0.203,0.092,0.177,0.264,0.059928,0.204072,0.486,0.644,0.394,0.405,0.398,0.367,0.4,0.357309185,0.553,0.851,15,0,2011,Houston Rockets
0.428,13,0.777,0.295,0.108,0.103,0.271,0.223,0.053743,0.169257,0.455,0.587,0.348,0.355,0.391,0.335,0.35,0.330237154,0.457,0.829,15,0,2002,Houston Rockets
0.44,12.1,0.804,0.305,0.145,0.126,0.229,0.196,0.04704,0.14896,0.462,0.605,0.38,0.366,0.376,0.346,0.342,0.347263158,0.466,0.879,20,1,2003,Houston Rockets
0.443,13.4,0.763,0.254,0.134,0.119,0.256,0.237,0.065649,0.171351,0.468,0.59,0.435,0.394,0.399,0.364,0.391,0.353655602,0.561,0.808,11,0,2005,Houston Rockets
0.444,13.2,0.608,0.309,0.184,0.047,0.068,0.392,0.128184,0.263816,0.506,0.636,0.391,0.351,0.328,0.348,0.393,0.326135215,0.496,0.833,17,0,2015,Houston Rockets
0.46,15,0.498,0.288,0.103,0.062,0.044,0.502,0.113954,0.388046,0.558,0.669,0.369,0.454,0.43,0.362,0.401,0.350547219,0.47,0.689,17,1,2018,Houston Rockets
0.447,12,0.735,0.346,0.134,0.089,0.165,0.265,0.0636,0.2014,0.481,0.572,0.427,0.382,0.388,0.351,0.395,0.337105263,0.507,0.85,15,0,2010,Houston Rockets
0.472,11.9,0.67,0.341,0.214,0.049,0.065,0.33,0.0759,0.2541,0.529,0.663,0.405,0.391,0.343,0.358,0.389,0.34874026,0.472,0.834,11,1,2014,Houston Rockets
0.452,12.5,0.63,0.321,0.164,0.064,0.082,0.37,0.11359,0.25641,0.514,0.651,0.356,0.4,0.379,0.347,0.36,0.341240981,0.508,0.793,21,0,2016,Houston Rockets
0.453,12.3,0.746,0.309,0.16,0.111,0.166,0.254,0.049276,0.204724,0.48,0.568,0.45,0.409,0.393,0.375,0.383,0.373074442,0.492,0.824,25,0,2009,Houston Rockets
0.462,14.4,0.538,0.321,0.125,0.041,0.05,0.462,0.092862,0.369138,0.552,0.667,0.391,0.375,0.374,0.357,0.39,0.348698373,0.546,0.771,14,0,2017,Houston Rockets
0.442,12.7,0.773,0.268,0.153,0.141,0.211,0.227,0.071505,0.155495,0.464,0.596,0.383,0.402,0.398,0.366,0.384,0.357722628,0.512,0.854,16,0,2004,Houston Rockets
0.45,13.1,0.73,0.27,0.133,0.108,0.219,0.27,0.07371,0.19629,0.486,0.635,0.435,0.39,0.381,0.351,0.398,0.333350757,0.487,0.804,13,0,2016,Indiana Pacers
0.446,12.4,0.818,0.236,0.193,0.168,0.222,0.182,0.052416,0.129584,0.47,0.639,0.408,0.389,0.405,0.339,0.384,0.320797753,0.601,0.896,11,0,2002,Indiana Pacers
0.438,12.6,0.788,0.272,0.158,0.146,0.213,0.212,0.057028,0.154972,0.462,0.589,0.416,0.379,0.392,0.346,0.366,0.338640219,0.522,0.898,11,2,2007,Indiana Pacers
0.439,13.5,0.745,0.244,0.173,0.105,0.222,0.255,0.06783,0.18717,0.469,0.604,0.4,0.377,0.418,0.352,0.383,0.340765668,0.516,0.858,17,0,2015,Indiana Pacers
0.44,12.6,0.82,0.221,0.201,0.157,0.241,0.18,0.05922,0.12078,0.461,0.621,0.374,0.423,0.412,0.342,0.367,0.329742176,0.58,0.889,7,0,2001,Indiana Pacers
0.444,14,0.711,0.246,0.138,0.111,0.216,0.289,0.054332,0.234668,0.472,0.616,0.423,0.38,0.386,0.374,0.398,0.36844335,0.496,0.927,10,0,2008,Indiana Pacers
0.472,13,0.716,0.293,0.136,0.096,0.191,0.284,0.06248,0.22152,0.513,0.638,0.42,0.449,0.422,0.369,0.425,0.353205128,0.465,0.819,21,0,2018,Indiana Pacers
0.443,13.4,0.722,0.28,0.135,0.098,0.209,0.278,0.052542,0.225458,0.479,0.599,0.425,0.403,0.39,0.348,0.362,0.344737361,0.474,0.926,11,0,2010,Indiana Pacers
0.441,12,0.831,0.278,0.163,0.163,0.226,0.169,0.037518,0.131482,0.461,0.632,0.357,0.369,0.392,0.339,0.31,0.347275064,0.623,0.876,5,0,2003,Indiana Pacers
0.455,12.9,0.756,0.295,0.135,0.103,0.223,0.244,0.042456,0.201544,0.48,0.592,0.413,0.41,0.403,0.378,0.37,0.37968523,0.454,0.933,9,0,2009,Indiana Pacers
0.432,13.2,0.745,0.27,0.14,0.137,0.199,0.255,0.06936,0.18564,0.463,0.582,0.407,0.397,0.384,0.344,0.403,0.321956044,0.481,0.86,10,0,2005,Indiana Pacers
0.442,13.2,0.756,0.245,0.182,0.116,0.213,0.244,0.049532,0.194468,0.471,0.627,0.402,0.397,0.391,0.354,0.394,0.343811794,0.45,0.892,11,0,2011,Indiana Pacers
0.449,13,0.765,0.249,0.188,0.124,0.205,0.235,0.05781,0.17719,0.477,0.611,0.418,0.382,0.425,0.357,0.406,0.341013263,0.498,0.831,14,0,2014,Indiana Pacers
0.465,13.5,0.728,0.241,0.186,0.107,0.194,0.272,0.070176,0.201824,0.498,0.625,0.464,0.417,0.418,0.376,0.403,0.36661186,0.498,0.838,18,0,2017,Indiana Pacers
0.435,12.1,0.797,0.288,0.156,0.157,0.196,0.203,0.06699,0.13601,0.457,0.589,0.366,0.368,0.407,0.351,0.383,0.335238806,0.6,0.871,8,0,2004,Indiana Pacers
0.444,12.9,0.755,0.283,0.141,0.133,0.198,0.245,0.058555,0.186445,0.475,0.603,0.431,0.363,0.398,0.349,0.376,0.340520368,0.531,0.815,12,0,2006,Indiana Pacers
0.438,11.9,0.802,0.269,0.219,0.127,0.187,0.198,0.054846,0.143154,0.455,0.584,0.404,0.382,0.379,0.368,0.363,0.369915629,0.455,0.855,12,1,2012,Indiana Pacers
0.436,12.7,0.755,0.271,0.19,0.116,0.178,0.245,0.061495,0.183505,0.465,0.612,0.399,0.375,0.371,0.347,0.364,0.341303071,0.513,0.847,23,0,2013,Indiana Pacers
