Team,Surname,Path, ,,,
Atlanta,Hawks,Images/Team_Logo/AtlantaHawks.png, ,,, 
Boston,Celtics,Images/Team_Logo/BostonCeltics.png,,,,
Brooklyn,Nets,Images/Team_Logo/BrooklynNets.png,,,,
Charlotte,Hornets,Images/Team_Logo/CharlotteHornets.png,,,,
Chicago,Bulls,Images/Team_Logo/ChicagoBulls.png,,,,
Cleveland,Cavaliers,Images/Team_Logo/ClevelandCavaliers.png,,,,
Dallas,Mavericks,Images/Team_Logo/DallasMavericks.png,,,,
Denver,Nuggets,Images/Team_Logo/DenverNuggets.png,,,,
Detroit,Pistons,Images/Team_Logo/DetroitPistons.png,,,,
GoldenState,Warriors,Images/Team_Logo/GoldenStateWarriors.png,,,,
Houston,Rockets,Images/Team_Logo/HoustonRockets.png,,,,
Indiana,Pacers,Images/Team_Logo/IndianaPacers.png,,,,
LA,Clippers,Images/Team_Logo/LAClippers.png,,,,
LA,Lakers,Images/Team_Logo/LALakers.png,,,,
Memphis,Grizzlies,Images/Team_Logo/MemphisGrizzlies.png,,,,
Miami,Heat,Images/Team_Logo/MiamiHeat.png,,,,
Milwaukee,Bucks,Images/Team_Logo/MilwaukeeBucks.png,,,,
Minnesota,TimberWolves,Images/Team_Logo/MinnesotaTimberWolves.png,,,,
NewOrleans,Pelicans,Images/Team_Logo/NewOrleansPelicans.png,,,,
NewYork,Knicks,Images/Team_Logo/NewYorkKnicks.png,,,,
OKC,Thunder,Images/Team_Logo/OKCThunder.png,,,,
Orlando,Magic,Images/Team_Logo/OrlandoMagic.png,,,,
Philadelphia,76ers,Images/Team_Logo/Philadelphia76ers.png,,,,
Phoenix,Suns,Images/Team_Logo/PhoenixSuns.png,,,,
Protland,TrailBlazers,Images/Team_Logo/ProtlandTrailBlazers.png,,,,
Sacramento,Kings,Images/Team_Logo/SacramentoKings.png,,,,
SanAntonio,Spurs,Images/Team_Logo/SanAntonioSpurs.png,,,,
Toronto,Raptors,Images/Team_Logo/TorontoRaptors.png,,,,
Utah,Jazz,Images/Team_Logo/UtahJazz.png,,,,
Washington,Wizards,Images/Team_Logo/WashingtonWizards.png,,,,